id,nombre,categoria,precio unidad,cantidad en stock,almacen
1,Teclado mecánico,Periféricos,89.99,150,A-1
2,Ratón inalámbrico,Periféricos,29.5,80,A-2
3,Monitor 24 pulgadas,Monitores,159.9,45,B-1
4,Cable HDMI 2m,Accesorios,9.99,1000,C-1
5,Alfombrilla gaming,Accesorios,14.99,400,C-2
6,Auriculares gaming,Periféricos,49.99,120,D-1
7,Disco SSD 1TB,Almacenamiento,89.75,300,D-1
8,Base refrigeradora,Accesorios,25.5,200,E-1
9,Lámpara LED escritorio,Accesorios,34.2,60,E-2
10,Portátil Gaming X1,Portátiles,1299.0,25,D-2
11,Mochila para portátil,Accesorios,59.95,70,A-1
12,Memoria USB 64GB,Almacenamiento,12.2,220,A-2
13,Silla gaming,Mobiliario,199.9,15,E-3
14,Impresora multifunción,Impresoras,229.0,10,D-2
15,Router Wi-Fi 6,Redes,99.0,95,E-1
